conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1756245433201070397,Sat Feb 10 09:15:15 +0000 2024,0,Prabowo Subianto Kampanye bersama Gibran Rakabuming Raka di GBK hari ini 10 Februari 2024. #kampanyeterakhirprabowo #kampanyeprabowo #kampanyegibran #gbk #prabowogibran #gibranrakabumingraka #prabowosubianto #pilpres2024 #pemilu2024 #promedia #surabayanetwork https://t.co/mZx7MONE2v,1756245433201070397,https://pbs.twimg.com/ext_tw_video_thumb/1756244675491708928/pu/img/luaLQ3owjzbeycb0.jpg,,in,,0,0,0,https://x.com/subnetworkid/status/1756245433201070397,1421835517956530180,subnetworkid
1756245384408502404,Sat Feb 10 09:15:03 +0000 2024,0,awokawokawokawok,1756245384408502404,,,pl,Indonesia Maju 2145,0,0,0,https://x.com/gibransesunan/status/1756245384408502404,184308463,gibransesunan
1756244595304988882,Sat Feb 10 09:11:55 +0000 2024,0,Massa pendukung pasangan nomor urut 2 Prabowo Subianto @prabowo Gibran Rakabuming Raka @gibran_rakabuming memadati lokasi kampanye akbar terakhir pemilihan presiden (Pilpres) 2024 di Stadion Utama Gelora Bung Karno (SU GBK). #bantenhay #promedia #prabowosubianto #gibran https://t.co/102G19l6XX,1756244595304988882,https://pbs.twimg.com/ext_tw_video_thumb/1756244475565703168/pu/img/9cd-Nf0p4JM0M101.jpg,,in,"Serang, Indonesia",0,0,0,https://x.com/BantenHay/status/1756244595304988882,1569590246400196608,BantenHay
1756242997023564091,Sat Feb 10 09:05:34 +0000 2024,1,Momen-Momen Mesra Selvi Ananda dan Gibran Rakabuming Raka Boncengan Motor Terbaru Saat Kampanye Akbar di GBK https://t.co/2WH7gT6WoW #Lifestyle,1756242997023564091,,,in,Jakarta,0,0,0,https://x.com/liputan6dotcom/status/1756242997023564091,47596019,liputan6dotcom
1756242885387968638,Sat Feb 10 09:05:07 +0000 2024,0,Pasangan calon presiden dan calon wakil presiden nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka menggelar kampanye akbar di Stadion Utama Gelor... https://t.co/39TTgFSvNA,1756242885387968638,,,in,,0,0,0,https://x.com/inilahdotcom/status/1756242885387968638,46693036,inilahdotcom
1756161332376949125,Sat Feb 10 08:59:57 +0000 2024,0,Calon wakil presiden nomor urut dua Gibran Rakabuming Raka ikut memeriahkan kampanye akbar duet Prabowo-Gibran yang diselenggarakan di Stadion Utama Gelora Bung Karno (GBK) Jakarta Pusat pada hari Sabtu (10/2/2024). https://t.co/RWjCY6xJOa,1756241584113475828,,inilahdotcom,in,,0,1,0,https://x.com/inilahdotcom/status/1756241584113475828,46693036,inilahdotcom
1756240874768637994,Sat Feb 10 08:57:08 +0000 2024,0,Di isukan sepi beginilah suasana kampanye akbar Paslon nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka di Stadion Utama Gelora Bung Karno (SUGBK). #kampanyeakbar #prabowogibran #capres02 #pandeglangnews #promedia #viral #fyp https://t.co/DreltUdzuS,1756240874768637994,https://pbs.twimg.com/ext_tw_video_thumb/1756240842405433344/pu/img/ylcibn7DLIRtLjzW.jpg,,in,"Pandeglang, Indonesia",0,0,0,https://x.com/pandeglan9news/status/1756240874768637994,1443714411944759296,pandeglan9news
1756161332376949125,Sat Feb 10 08:40:56 +0000 2024,0,Gerakan Sorban Biru barisan relawan yang digagas Ketua Umum Pimpinan Pusat Gerakan Pemuda Ansor periode 2015-2023 Yaqut Cholil Qoumas menyatakan siap membawa Prabowo Subianto-Gibran Rakabuming Raka memenangi Pilpres 2024 dalam satu putaran. https://t.co/XqSRvd8VLh,1756236796802023673,,inilahdotcom,in,,0,1,0,https://x.com/inilahdotcom/status/1756236796802023673,46693036,inilahdotcom
1756236369855439343,Sat Feb 10 08:39:14 +0000 2024,0,Paslon nomor urut 2 Prabowo Subianto-Gibran Rakabuming Raka melakukan kampanye akbar di Stadion Utama Gelora Bung Karno (SUGBK). SUGBK tampak sesak dipenuhi para pendukung. #kampanyeakbar #prabowogibran #capres02 #pandeglangnews #promedia #viral #fyp https://t.co/u438gyoKqX,1756236369855439343,https://pbs.twimg.com/ext_tw_video_thumb/1756236326985486336/pu/img/bS5nfuYSnD_ua7XS.jpg,,in,"Pandeglang, Indonesia",0,0,0,https://x.com/pandeglan9news/status/1756236369855439343,1443714411944759296,pandeglan9news
1756234704465100819,Sat Feb 10 08:32:37 +0000 2024,0,Filter AI Parody Gibran Rakabuming Viral di Tiktok Bisa Ubah Wajah Pengguna Jadi Semirip Mungkin! https://t.co/88nq4jC9Tj,1756234704465100819,,,in,,0,0,0,https://x.com/bisnisbandung63/status/1756234704465100819,1690969676287983616,bisnisbandung63
