conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,categories
1732743937092415787,Thu Dec 07 12:49:11 +0000 2023,0,Namun demikian keduanya sudah resmi akan bersaing di Pilpres. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,1732744058790101088,,mercifulove,in,,0,1,0,https://x.com/mercifulove/status/1732744058790101088,1287936042750758912,mercifulove,"kubu_01, kubu_02"
1732743937092415787,Thu Dec 07 12:49:05 +0000 2023,0,Untuk diketahui Hendropriyono menegaskan tidak terafiliasi atau mendukung paslon manapun di Pilpres 2024. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,1732744037281730588,,mercifulove,in,,0,1,0,https://x.com/mercifulove/status/1732744037281730588,1287936042750758912,mercifulove,"kubu_01, kubu_02"
1732744012917002548,Thu Dec 07 12:49:05 +0000 2023,0,Zulhas yakin Prabowo-Gibran bisa menang di Pilpres 2024 bahkan dengan satu putaran saja. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,1732744036308652202,,Harumiii_kn,in,,0,1,0,https://x.com/Harumiii_kn/status/1732744036308652202,1623536887762935816,Harumiii_kn,"kubu_01, kubu_02"
1732744012917002548,Thu Dec 07 12:49:01 +0000 2023,0,Ia menyatakan dahaga PAN yang sudah dua kali mendukung Prabowo di Pilpres 2014 dan 2019 akan tuntas dengan berbuah kemenangan di Pilpres 2024. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,1732744018256331171,,Harumiii_kn,in,,0,1,0,https://x.com/Harumiii_kn/status/1732744018256331171,1623536887762935816,Harumiii_kn,"kubu_01, kubu_02"
1732744012917002548,Thu Dec 07 12:49:00 +0000 2023,0,Ketum PAN Zulkifli Hasan menegaskan Pilpres 2024 merupakan jatah Prabowo Subianto untuk menang. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,1732744015744045561,,Harumiii_kn,in,,0,1,0,https://x.com/Harumiii_kn/status/1732744015744045561,1623536887762935816,Harumiii_kn,"kubu_01, kubu_02"
1732743354050592894,Thu Dec 07 12:46:38 +0000 2023,0,Milenial Legislatif R. Krisma Eka Putra dalam kesempatan itu mengatakan keberadaan RKB akan menjadi amunisi baru untuk pemenangan Prabowo-Gibran dalam Pilpres 2024. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,1732743418013778159,,mercifulove,in,,0,1,0,https://x.com/mercifulove/status/1732743418013778159,1287936042750758912,mercifulove,"kubu_01, kubu_02"
1732742968677994962,Thu Dec 07 12:45:07 +0000 2023,0,dengan adanya dukungan dan doa dari para kiai dan ulama se-Cirebon Raya ini Prabowo Subianto dan Gibran Rakabuming Raka mendapatkan ridho Tuhan yang Maha Kuasa dan kemudahan dalam memenangkan Pilpres 2024 mendatang. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy,1732743035430310260,,mercifulove,in,,0,1,0,https://x.com/mercifulove/status/1732743035430310260,1287936042750758912,mercifulove,"kubu_01, kubu_02"
1732742968677994962,Thu Dec 07 12:44:55 +0000 2023,0,Para kiai melalui perwakilannya pun mengungkapkan alasannya memilih Prabowo-Gibran di Pilpres 2024 nanti. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,1732742985572557267,,mercifulove,in,,0,1,0,https://x.com/mercifulove/status/1732742985572557267,1287936042750758912,mercifulove,"kubu_01, kubu_02"
1732742968677994962,Thu Dec 07 12:44:51 +0000 2023,0,Ratusan Kiai Ponpes Cirebon Raya Dukung Prabowo-Gibran di Pilpres 2024 Ungkap Alasannya https://t.co/gJlZf11phT #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,1732742968677994962,,,in,,0,1,0,https://x.com/mercifulove/status/1732742968677994962,1287936042750758912,mercifulove,"kubu_01, kubu_02"
1732741192390168882,Thu Dec 07 12:37:58 +0000 2023,0,Pertama di 2009 Prabowo maju sebagai Cawapres pendamping Megawati Soekarnoputri kesempatan kedua dan ketiga pada pilpres 2014 dan 2019 di mana Prabowo jadi capres namun kedua kesempatan itu harus kalah melawan Jokowi. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy,1732741235713179690,,MessyHairByF,in,,0,0,0,https://x.com/MessyHairByF/status/1732741235713179690,1600408394241744897,MessyHairByF,"kubu_01, kubu_02"
1732741192390168882,Thu Dec 07 12:37:57 +0000 2023,0,Pertama di 2009 Prabowo maju sebagai Cawapres pendamping Megawati Soekarnoputri kesempatan kedua dan ketiga pada pilpres 2014 dan 2019 di mana Prabowo jadi capres namun kedua kesempatan itu harus kalah melawan Jokowi. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy,1732741233100132547,,MessyHairByF,in,,0,1,0,https://x.com/MessyHairByF/status/1732741233100132547,1600408394241744897,MessyHairByF,"kubu_01, kubu_02"
1732741192390168882,Thu Dec 07 12:37:56 +0000 2023,0,Untuk diketahui Pilpres 2024 akan jadi pertarungan ke-4 yang Prabowo jalani di pemilihan nasional. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,1732741230193463402,,MessyHairByF,in,,0,1,0,https://x.com/MessyHairByF/status/1732741230193463402,1600408394241744897,MessyHairByF,"kubu_01, kubu_02"
1732741192390168882,Thu Dec 07 12:37:53 +0000 2023,0,Toh lanjutnya selama ini ia telah membuktikan hal tersebut dengan maju di Pilpres berkali-kali. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,1732741215119114454,,MessyHairByF,in,,0,1,0,https://x.com/MessyHairByF/status/1732741215119114454,1600408394241744897,MessyHairByF,"kubu_01, kubu_02"
1732729993732788385,Thu Dec 07 11:53:28 +0000 2023,0,Pejuang Wadas Nyatakan Dukungan untuk Prabowo-Gibran di Pilpres 2024 https://t.co/cNZuN7bBQ0 #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,1732730036921491900,,moammarfatahil1,in,,0,1,0,https://x.com/moammarfatahil1/status/1732730036921491900,1621379469125775363,moammarfatahil1,"kubu_01, kubu_02"
1732729993732788385,Thu Dec 07 11:53:20 +0000 2023,0,dan mas Gibran Rakabuming Raka untuk menang satu putaran Pilpres 2024 dengan cara santun dengan mengutamakan persatuan ucap Koordinator Pejuang Wadas #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,1732730006433042482,,moammarfatahil1,in,,0,1,0,https://x.com/moammarfatahil1/status/1732730006433042482,1621379469125775363,moammarfatahil1,"kubu_01, kubu_02"
1732729993732788385,Thu Dec 07 11:53:18 +0000 2023,0,Jakarta CNN Indonesia -- Ratusan pejuang Wadas Jawa Tengah ramai-ramai menyatakan dukungan kepada pasangan capres Prabowo Subianto-Gibran Rakabuming Raka pada Pilpres 2024. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,1732729995901153740,,moammarfatahil1,in,,0,1,0,https://x.com/moammarfatahil1/status/1732729995901153740,1621379469125775363,moammarfatahil1,"kubu_01, kubu_02"
1732635061357584674,Thu Dec 07 11:22:14 +0000 2023,1,@ekky1995 Untungnya Anies main agak halus di pilpres ini cuma emang kebiasaan diskriminatif akademis-aktifis sama konservatif religus gk bisa ilang. Paling sayang Ganjar sih ada kesempatan nawarin upaya melanjutkan legacy Jokowi tanpa beban Dinasti malah kampanye-nya paling ngaco...,1732722177596912017,,Interelatedeath,in,"Yogyakarta, Indonesia",0,0,0,https://x.com/Interelatedeath/status/1732722177596912017,1209009034671448065,Interelatedeath,"kubu_03, kubu_01"
1732719632279376186,Thu Dec 07 11:12:07 +0000 2023,0,Jika Pilpres Hanya Satu Putaran Maka Paslon Mana yang Bakal Menang? Tag: Bangladesh Gojo Satoru Vanesya Cat 1 Rohingya Asam Sulfat KDRT Salma Lah Anies Prabowo Gibran Ganjar Mahfud Cak Imin ▶https://t.co/QQygtsV35S,1732719632279376186,,,in,Indonesia,0,0,0,https://x.com/galerinews_com/status/1732719632279376186,1529412784407990272,galerinews_com,"kubu_03, kubu_01, kubu_02"
1732248667900567814,Thu Dec 07 11:05:28 +0000 2023,0,@bumnbersatu @jokowi @ganjarpranowo @Adiprayitno_20 @prabowo @aniesbaswedan Kecurangan pilpres nyata terang-terangan mna KPU mna Bawaslu,1732717961260187678,,bumnbersatu,in,,0,0,0,https://x.com/jajahaeru67704/status/1732717961260187678,1681106639116726274,jajahaeru67704,"kubu_03, kubu_01, kubu_02"
1732717564751679999,Thu Dec 07 11:03:54 +0000 2023,0,Paslon nomor berapa yang paling ideal kita pilih pd pilpres 2024 dari segi umur? Nomor 1: @aniesbaswedan 54 thn @cakimiNOW 57 thn Nomor 2: @prabowo 72 thn @gibran_tweet 36 thn Nomor 3: @ganjarpranowo 54 thn @mohmahfudmd 66 thn,1732717564751679999,,,in,Indonesia,0,0,0,https://x.com/nyak_ih_meutuah/status/1732717564751679999,485230427,nyak_ih_meutuah,"kubu_03, kubu_01, kubu_02"
1732711587814015178,Thu Dec 07 10:40:10 +0000 2023,0,Jakarta Wilayah Jakarta Jawa Barat dan juga Banten diyakini oleh Fahri Hamzah akan memberi suara yang cukup signifikan untuk Prabowo Subianto - Gibran Rakabuming Raka di Pilpres 2024 ini. #BersamaIndonesiaMaju #PrabowoGibranIstimewa #PrabowoGemoy Prabowo Subianto,1732711591177760919,,acurtis2346,in,,0,1,0,https://x.com/acurtis2346/status/1732711591177760919,2924426972,acurtis2346,"kubu_01, kubu_02"
